Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 11:54:34,2023-05-15 11:54:34,0.527s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 11:54:34,2023-05-15 11:54:35,0.443s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 11:54:35,2023-05-15 11:54:36,1.419s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 11:54:36,2023-05-15 11:54:36,0.121s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 11:54:36,2023-05-15 11:54:47,10.424s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 11:54:36,2023-05-15 11:54:43,6.513s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 11:54:43,2023-05-15 11:54:44,1.112s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 11:54:44,2023-05-15 11:54:45,0.705s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 11:54:45,2023-05-15 11:54:45,0.534s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 11:54:45,2023-05-15 11:54:45,0.412s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 11:54:45,2023-05-15 11:54:46,0.995s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 11:54:46,2023-05-15 11:54:47,0.116s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 11:55:17,2023-05-15 11:55:27,9.928s,FAILED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 11:55:17,2023-05-15 11:55:23,6.601s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 11:55:23,2023-05-15 11:55:24,1.090s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 11:55:24,2023-05-15 11:55:25,0.704s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 11:55:25,2023-05-15 11:55:26,0.548s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 11:55:26,2023-05-15 11:55:26,0.304s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 11:55:26,2023-05-15 11:55:26,0.542s,FAILED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 11:55:26,2023-05-15 11:55:27,0.105s,PASSED
,,,,,,,
Test Cases/Login Test - Scriptless Mode,Chrome 113.0.0.0,,,2023-05-15 11:55:27,2023-05-15 11:55:37,10.327s,PASSED
"openBrowser(""https://example.testproject.io/"")",Chrome 113.0.0.0,,,2023-05-15 11:55:27,2023-05-15 11:55:33,6.540s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Full Name_name""), FullName)",Chrome 113.0.0.0,,,2023-05-15 11:55:33,2023-05-15 11:55:34,1.056s,PASSED
"setText(findTestObject(""Login page/Page_TestProject Demo/input_Password_password""), Password)",Chrome 113.0.0.0,,,2023-05-15 11:55:34,2023-05-15 11:55:35,0.706s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 11:55:35,2023-05-15 11:55:35,0.510s,PASSED
"verifyElementPresent(findTestObject(""Login page/Page_TestProject Demo/h1_TestProject Example page""), 0)",Chrome 113.0.0.0,,,2023-05-15 11:55:35,2023-05-15 11:55:36,0.414s,PASSED
"click(findTestObject(""Login page/Page_TestProject Demo/button_Logout""))",Chrome 113.0.0.0,,,2023-05-15 11:55:36,2023-05-15 11:55:37,0.971s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 11:55:37,2023-05-15 11:55:37,0.103s,PASSED
